P_ID,OPENNESS,CONSCIENTIOUSNESS,EXTRAVERSION,AGREEABLENESS,NEUROTICISM,Mean
1107,4.0,6.0,10.0,4.0,3.0,1526.6666666666667
1153,5.0,3.0,8.0,3.0,8.0,262.14285714285717
1233,6.0,8.0,7.0,10.0,2.0,792.0
1318,3.0,6.0,5.0,5.0,2.0,140.0
1400,4.0,6.0,5.0,6.0,6.0,95.0
1402,9.0,7.0,7.0,4.0,7.0,333.3333333333333
1507,3.0,2.0,8.0,9.0,4.0,461.42857142857144
1516,1.0,10.0,4.0,6.0,4.0,150.0
1619,8.0,3.0,5.0,5.0,7.0,350.0
1678,6.0,3.0,3.0,3.0,10.0,1060.0
1704,4.0,1.0,1.0,7.0,8.0,220.0
1714,4.0,6.0,4.0,4.0,3.0,1500.0
1809,6.0,1.0,8.0,7.0,6.0,1157.5
2006,1.0,1.0,2.0,1.0,2.0,1623.3333333333333
2070,5.0,8.0,6.0,5.0,6.0,1435.0
2104,3.0,4.0,6.0,2.0,6.0,440.0
2110,9.0,9.0,7.0,4.0,4.0,558.75
2121,5.0,8.0,10.0,9.0,3.0,306.0
2277,3.0,4.0,5.0,7.0,1.0,553.3333333333334
2289,7.0,5.0,5.0,9.0,7.0,645.0
2340,5.0,5.0,8.0,6.0,3.0,3890.0
2401,5.0,4.0,4.0,8.0,10.0,545.0
2428,8.0,5.0,7.0,3.0,9.0,2850.0
2452,5.0,8.0,7.0,7.0,2.0,1910.0
2517,7.0,7.0,1.0,10.0,10.0,503.75
2669,8.0,6.0,6.0,4.0,3.0,560.0
2705,6.0,5.0,5.0,9.0,1.0,2050.0
2764,5.0,6.0,3.0,9.0,10.0,1070.0
2846,6.0,2.0,6.0,8.0,7.0,512.5
2881,4.0,6.0,5.0,6.0,10.0,950.0
2900,3.0,4.0,2.0,6.0,10.0,1065.0
2955,3.0,7.0,3.0,8.0,4.0,281.6666666666667
2986,5.0,9.0,4.0,7.0,4.0,611.4285714285714
2992,6.0,6.0,4.0,6.0,7.0,324.2857142857143
3172,6.0,5.0,5.0,8.0,8.0,1207.5
3264,5.0,9.0,7.0,10.0,6.0,327.5
3327,6.0,6.0,8.0,6.0,10.0,507.77777777777777
3333,1.0,1.0,1.0,1.0,3.0,370.0
3369,6.0,7.0,3.0,5.0,7.0,391.6666666666667
3377,6.0,7.0,7.0,4.0,7.0,378.8888888888889
3423,7.0,8.0,5.0,5.0,4.0,430.0
3567,4.0,3.0,10.0,10.0,3.0,375.55555555555554
3618,4.0,1.0,6.0,6.0,5.0,1192.5
3640,5.0,9.0,4.0,4.0,10.0,934.0
3670,7.0,3.0,4.0,2.0,7.0,1593.3333333333333
3723,6.0,3.0,7.0,4.0,3.0,266.6666666666667
3767,5.0,1.0,3.0,2.0,4.0,576.0
3802,8.0,7.0,2.0,8.0,10.0,538.3333333333334
3808,5.0,3.0,6.0,5.0,10.0,1012.5
3969,7.0,10.0,5.0,5.0,2.0,234.28571428571428
3988,6.0,9.0,7.0,10.0,5.0,935.0
4043,2.0,4.0,1.0,8.0,7.0,431.1111111111111
4047,4.0,7.0,6.0,1.0,4.0,197.5
4087,2.0,3.0,5.0,8.0,10.0,1375.0
4105,3.0,6.0,4.0,8.0,2.0,311.6666666666667
4202,1.0,4.0,1.0,4.0,7.0,706.0
4231,9.0,8.0,10.0,4.0,7.0,395.0
4302,2.0,1.0,5.0,8.0,2.0,310.0
4417,2.0,5.0,7.0,10.0,7.0,853.3333333333334
4624,1.0,6.0,3.0,7.0,6.0,800.0
4627,3.0,7.0,5.0,4.0,2.0,470.0
4830,4.0,7.0,4.0,6.0,4.0,133.33333333333334
4883,5.0,5.0,5.0,4.0,5.0,359.09090909090907
5099,8.0,3.0,4.0,8.0,10.0,1750.0
5102,5.0,3.0,2.0,6.0,5.0,1025.0
5104,5.0,4.0,6.0,4.0,5.0,301.42857142857144
5112,7.0,3.0,9.0,8.0,6.0,3650.0
5215,10.0,1.0,8.0,10.0,8.0,1616.6666666666667
5232,7.0,6.0,10.0,10.0,4.0,484.2857142857143
5330,9.0,5.0,3.0,7.0,7.0,526.0
5388,2.0,2.0,4.0,6.0,7.0,822.5
5438,4.0,7.0,5.0,8.0,2.0,1202.5
5504,5.0,3.0,4.0,8.0,6.0,1353.3333333333333
5513,5.0,6.0,8.0,4.0,2.0,306.6666666666667
5611,5.0,5.0,4.0,8.0,4.0,360.0
5626,3.0,10.0,9.0,8.0,2.0,157.61904761904762
5648,6.0,2.0,3.0,2.0,7.0,370.0
5844,7.0,6.0,4.0,3.0,7.0,299.09090909090907
5870,6.0,3.0,9.0,6.0,7.0,710.0
5900,8.0,4.0,7.0,10.0,2.0,395.0
5924,7.0,8.0,7.0,5.0,3.0,1200.0
5948,6.0,6.0,5.0,4.0,7.0,286.6666666666667
6111,5.0,6.0,4.0,7.0,10.0,20.0
6234,3.0,7.0,7.0,4.0,5.0,856.6666666666666
6412,4.0,7.0,8.0,7.0,10.0,595.0
6430,1.0,7.0,7.0,9.0,1.0,291.8181818181818
6543,5.0,9.0,7.0,8.0,3.0,1135.0
6546,5.0,5.0,5.0,2.0,5.0,636.6666666666666
6551,8.0,6.0,5.0,9.0,1.0,470.0
6603,9.0,5.0,8.0,6.0,5.0,365.0
6610,6.0,6.0,8.0,6.0,1.0,1143.3333333333333
6635,5.0,2.0,4.0,3.0,9.0,1147.5
6639,10.0,10.0,5.0,5.0,8.0,270.0
6678,3.0,3.0,1.0,9.0,6.0,1600.0
6684,6.0,6.0,1.0,5.0,10.0,130.0
6801,4.0,1.0,3.0,5.0,8.0,223.33333333333334
6820,8.0,8.0,3.0,3.0,8.0,280.625
7020,3.0,5.0,3.0,3.0,8.0,317.77777777777777
7060,6.0,10.0,5.0,8.0,2.0,1750.0
7078,3.0,6.0,6.0,9.0,5.0,1147.5
7250,4.0,5.0,7.0,9.0,9.0,1426.6666666666667
7311,8.0,3.0,5.0,6.0,8.0,945.0
7347,7.0,8.0,7.0,7.0,2.0,260.0
7504,3.0,6.0,1.0,7.0,10.0,1140.0
7630,6.0,2.0,2.0,8.0,10.0,1216.6666666666667
7686,4.0,7.0,6.0,7.0,5.0,4700.0
7699,5.0,6.0,5.0,6.0,4.0,310.0
7813,6.0,5.0,5.0,3.0,4.0,695.0
7820,9.0,2.0,3.0,7.0,10.0,770.0
7957,5.0,6.0,5.0,7.0,3.0,730.0
7976,4.0,6.0,8.0,6.0,6.0,883.3333333333334
8002,4.0,4.0,2.0,8.0,7.0,3690.0
8010,6.0,4.0,4.0,1.0,3.0,876.0
8029,3.0,4.0,2.0,9.0,10.0,601.6666666666666
8040,8.0,8.0,9.0,5.0,5.0,1653.3333333333333
8057,5.0,4.0,3.0,2.0,8.0,505.0
8097,5.0,3.0,9.0,2.0,9.0,580.0
8101,3.0,7.0,2.0,7.0,2.0,460.0
8106,6.0,7.0,4.0,8.0,10.0,450.0
8229,5.0,7.0,3.0,1.0,8.0,188.75
8341,5.0,3.0,2.0,3.0,9.0,502.5
8479,5.0,8.0,1.0,3.0,2.0,270.0
8481,5.0,5.0,7.0,6.0,2.0,485.55555555555554
8500,5.0,8.0,5.0,6.0,5.0,4190.0
8624,7.0,10.0,9.0,5.0,1.0,374.0
8660,6.0,7.0,6.0,3.0,5.0,780.0
8722,8.0,5.0,8.0,5.0,3.0,821.6666666666666
9076,7.0,6.0,3.0,8.0,3.0,481.25
9139,9.0,5.0,10.0,8.0,9.0,1310.0
9160,6.0,6.0,2.0,6.0,10.0,263.3333333333333
9265,8.0,10.0,4.0,5.0,2.0,575.0
9292,4.0,5.0,5.0,3.0,3.0,860.0
9296,6.0,9.0,7.0,5.0,3.0,2140.0
9394,3.0,6.0,8.0,8.0,3.0,440.0
9484,7.0,7.0,5.0,1.0,7.0,415.0
9593,6.0,5.0,9.0,9.0,4.0,460.0
9626,8.0,6.0,5.0,9.0,3.0,536.25
9639,3.0,4.0,5.0,8.0,4.0,645.0
9695,7.0,4.0,4.0,8.0,8.0,4130.0
9702,7.0,7.0,3.0,10.0,10.0,1035.0
9744,4.0,6.0,10.0,5.0,1.0,582.8571428571429
9764,6.0,8.0,6.0,8.0,2.0,2455.0
9820,7.0,5.0,4.0,4.0,5.0,826.6666666666666
9899,4.0,8.0,7.0,4.0,2.0,980.0
9904,3.0,6.0,2.0,5.0,7.0,593.3333333333334
9930,4.0,4.0,5.0,5.0,7.0,584.0
9952,7.0,6.0,5.0,3.0,6.0,595.0
9991,5.0,4.0,4.0,4.0,4.0,366.3636363636364
